mineral,technology,scenario,year,demand_kt
Other low emissions power generation - Mining,Wind,STEPS,2040,34.783
Other low emissions power generation - Mining,Wind,STEPS,2045,34.257000000000005
Other low emissions power generation - Mining,Wind,STEPS,2050,32.404
Other low emissions power generation - Mining,Wind,NZE,2030,40.682000000000016
Other low emissions power generation - Mining,Wind,NZE,2035,69.787
Other low emissions power generation - Mining,Wind,NZE,2040,76.17699999999999
Other low emissions power generation - Mining,Wind,NZE,2045,77.31
Other low emissions power generation - Mining,Wind,NZE,2050,67.14500000000001
Other low emissions power generation - Mining,Wind,NZE,2030,75.37
Other low emissions power generation - Mining,Wind,NZE,2035,123.76599999999996
Other low emissions power generation - Mining,Wind,NZE,2040,123.55300000000004
Other low emissions power generation - Mining,Wind,NZE,2045,93.613
Other low emissions power generation - Mining,Wind,NZE,2050,74.257
Electric vehicles - Mining,Wind,STEPS,2024,60.3427
Electric vehicles - Mining,Wind,STEPS,2030,356.468
Electric vehicles - Mining,Wind,STEPS,2035,928.422
Electric vehicles - Mining,Wind,STEPS,2040,1715.61
Electric vehicles - Mining,Wind,STEPS,2045,2287.12
Electric vehicles - Mining,Wind,STEPS,2050,2734.36
Electric vehicles - Mining,Wind,NZE,2030,402.916
Electric vehicles - Mining,Wind,NZE,2035,1145.8
Electric vehicles - Mining,Wind,NZE,2040,2297.26
Electric vehicles - Mining,Wind,NZE,2045,3101.11
Electric vehicles - Mining,Wind,NZE,2050,3717.75
Electric vehicles - Mining,Wind,NZE,2030,593.612
Electric vehicles - Mining,Wind,NZE,2035,1713.8
Electric vehicles - Mining,Wind,NZE,2040,2917.23
Electric vehicles - Mining,Wind,NZE,2045,3780.8
Electric vehicles - Mining,Wind,NZE,2050,4300.28
Electric vehicles - Mining,Grid battery storage,STEPS,2024,4.25056
Electric vehicles - Mining,Grid battery storage,STEPS,2030,68.8547
Electric vehicles - Mining,Grid battery storage,STEPS,2035,133.049
Electric vehicles - Mining,Grid battery storage,STEPS,2040,260.057
Electric vehicles - Mining,Grid battery storage,STEPS,2045,339.068
Electric vehicles - Mining,Grid battery storage,STEPS,2050,519.554
Electric vehicles - Mining,Grid battery storage,NZE,2030,77.984
Electric vehicles - Mining,Grid battery storage,NZE,2035,164.929
Electric vehicles - Mining,Grid battery storage,NZE,2040,328.262
Electric vehicles - Mining,Grid battery storage,NZE,2045,432.068
Electric vehicles - Mining,Grid battery storage,NZE,2050,662.197
Electric vehicles - Mining,Grid battery storage,NZE,2030,94.3342
Electric vehicles - Mining,Grid battery storage,NZE,2035,223.536
Electric vehicles - Mining,Grid battery storage,NZE,2040,404.162
Electric vehicles - Mining,Grid battery storage,NZE,2045,564.462
Electric vehicles - Mining,Grid battery storage,NZE,2050,797.527
Electric vehicles - Mining,Grid battery storage,STEPS,2024,186.039
Electric vehicles - Mining,Grid battery storage,STEPS,2030,601.768
Electric vehicles - Mining,Grid battery storage,STEPS,2035,1226.67
Electric vehicles - Mining,Grid battery storage,STEPS,2040,2127.43
Electric vehicles - Mining,Grid battery storage,STEPS,2045,2789.85
Electric vehicles - Mining,Grid battery storage,STEPS,2050,3448.24
Electric vehicles - Mining,Grid battery storage,NZE,2030,730.454
Electric vehicles - Mining,Grid battery storage,NZE,2035,1571.29
Electric vehicles - Mining,Grid battery storage,NZE,2040,2870.72
Electric vehicles - Mining,Grid battery storage,NZE,2045,3786.01
Electric vehicles - Mining,Grid battery storage,NZE,2050,4685.92
Electric vehicles - Mining,Grid battery storage,NZE,2030,1035.45
Electric vehicles - Mining,Grid battery storage,NZE,2035,2355.66
Electric vehicles - Mining,Grid battery storage,NZE,2040,3660.64
Electric vehicles - Mining,Grid battery storage,NZE,2045,4640.6
Electric vehicles - Mining,Grid battery storage,NZE,2050,5428.17
Molybdenum - Mining,Solar PV,STEPS,2024,0.365964
Molybdenum - Mining,Solar PV,STEPS,2030,0.561535
Molybdenum - Mining,Solar PV,STEPS,2035,0.540882
Molybdenum - Mining,Solar PV,STEPS,2040,0.5474
Molybdenum - Mining,Solar PV,STEPS,2045,0.483471
Molybdenum - Mining,Solar PV,STEPS,2050,0.476907
Molybdenum - Mining,Solar PV,NZE,2030,0.637683
Molybdenum - Mining,Solar PV,NZE,2035,0.606623
Molybdenum - Mining,Solar PV,NZE,2040,0.571379
